"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"1814.1,0.001087058,-0.141880989,-0.048429642,0.400704414,0.02577829,0.05758836"
"1814.2,0.004684318,-0.14342308,-0.022091064,0.409643797,0.057438376,0.053404279"
"1814.3,0.008224357,-0.143811226,0.004402485,0.415739127,0.0884443,0.048798196"
"1814.4,0.011684287,-0.143036842,0.0308288,0.418921115,0.118540241,0.043792372"
"1814.5,0.015041221,-0.141106606,0.056956139,0.419163453,0.147464411,0.038427345"
"1814.6,0.01827227,-0.138038635,0.082568493,0.416458191,0.17497608,0.032741209"
"1814.7,0.021365989,-0.133859634,0.107472267,0.410792043,0.200873969,0.026753244"
"1814.8,0.024322379,-0.128600597,0.131491508,0.402144943,0.224991287,0.020466135"
"1814.9,0.02714907,-0.12229681,0.154446449,0.390513851,0.247170592,0.013886608"
"1815,0.029823173,-0.114993095,0.176136818,0.375946765,0.267236754,0.007050339"
"1815.1,0.032306541,-0.106748581,0.196339931,0.35856324,0.284988496,3.35E-05"
"1815.2,0.034545768,-0.0976367,0.214828815,0.338546544,0.300215309,-0.007057463"
"1815.3,0.036487449,-0.08774662,0.23139843,0.316112841,0.31273019,-0.014111658"
"1815.4,0.038104881,-0.07717371,0.245883789,0.291476642,0.322397015,-0.021038075"
"1815.5,0.03937899,-0.066016197,0.258161869,0.264834609,0.329136277,-0.027773639"
"1815.6,0.040305961,-0.054371357,0.268133011,0.236375985,0.332907129,-0.034270894"
"1815.7,0.040878166,-0.042338848,0.275702801,0.20631068,0.33367926,-0.040474947"
"1815.8,0.041065086,-0.030022144,0.280770626,0.174894958,0.331413292,-0.046305274"
"1815.9,0.040828575,-0.017531395,0.283234444,0.142438179,0.326061758,-0.051653639"
"1816,0.040130485,-0.004986286,0.283009853,0.109287182,0.317588482,-0.056398339"
"1816.1,0.03893267,0.007492065,0.280050125,0.075798091,0.305993916,-0.060425603"
"1816.2,0.037219871,0.019779205,0.27435812,0.04231028,0.291334008,-0.063647104"
"1816.3,0.035003532,0.031756401,0.265990105,0.009130791,0.273727008,-0.066008482"
"1816.4,0.032317985,0.04331398,0.255053368,-0.02347251,0.253353087,-0.06749138"
"1816.5,0.029212821,0.054347992,0.241705265,-0.055276441,0.230453357,-0.068114989"
"1816.6,0.025764335,0.064768791,0.226150837,-0.086110863,0.205330694,-0.067939438"
"1816.7,0.022079337,0.074501991,0.208639469,-0.115865315,0.178346578,-0.067066881"
"1816.8,0.01826464,0.083490372,0.189448681,-0.14448342,0.149904643,-0.065632502"
"1816.9,0.014430869,0.091694832,0.168858852,-0.171937913,0.120418476,-0.06378158"
"1817,0.010669578,0.099090576,0.147124615,-0.198191012,0.090271509,-0.061638022"
"1817.1,0.007034171,0.105659485,0.12445673,-0.223156061,0.059786033,-0.059277458"
"1817.2,0.003543723,0.111384392,0.101023521,-0.246679993,0.029215911,-0.056718271"
"1817.3,1.83E-04,0.116247177,0.076968517,-0.268555328,-0.001234176,-0.053935056"
"1817.4,-0.003059518,0.120227814,0.052440968,-0.288554895,-0.031374944,-0.05088654"
"1817.5,-0.006191384,0.123310089,0.027612057,-0.306469467,-0.061003768,-0.047542379"
"1817.6,-0.00920881,0.12548542,0.002678242,-0.322129544,-0.089895281,-0.043895648"
"1817.7,-0.01210035,0.126753807,-0.022148285,-0.335404443,-0.117811812,-0.039958528"
"1817.8,-0.014846932,0.127124786,-0.046655807,-0.346188485,-0.144520946,-0.035750091"
"1817.9,-0.017437112,0.126613617,-0.070636902,-0.354391115,-0.169804533,-0.031289353"
"1818,-0.019851815,0.125236511,-0.093882713,-0.359942805,-0.193452168,-0.026600825"
"1818.1,-0.022071969,0.123019218,-0.116172943,-0.362814766,-0.215245608,-0.021728968"
"1818.2,-0.024047982,0.119994164,-0.137272511,-0.363037361,-0.234949116,-0.016749688"
"1818.3,-0.025730263,0.116204262,-0.156940613,-0.36070213,-0.252317567,-0.011767949"
"1818.4,-0.027061593,0.111702919,-0.174954567,-0.355941595,-0.267122429,-0.006899484"
"1818.5,-0.028003823,0.106552124,-0.191132698,-0.348895935,-0.279183289,-0.002245175"
"1818.6,-0.028541695,0.100813866,-0.205345783,-0.33968401,-0.288388943,0.002128652"
"1818.7,-0.028686654,0.094544411,-0.217516575,-0.328392187,-0.294699131,0.006194869"
"1818.8,-0.028465401,0.087796211,-0.227605019,-0.31508351,-0.298129059,0.009955444"
